"","MO.GRAN_ga","PA.ARCA_ga","PA.INSU_ga"
"elev",-3.47202970656568,-7.11986708907711,-1.6679144749865
"slp_test",2,2,2
"slope",2.78411213080285,4.89400129244955,1.95674273542402
"upper_limit",2.32679556521941,2.69983608113954,1.73465954610709
"lower_limit",3.33131129900217,8.87137142058959,2.20725856046353
"slp_p_value",0.000397911568081222,0.00377624271068167,0.719907777613879
"xy_r^2",0.616977054153082,0.0891320538153175,0.78180627089109
"xy_corr_p_value",8.88178419700125e-16,0.26135826232455,0
"n",70,16,93
"from",123.41532064318,64.7366143379114,41.7179206606843
"to",299.42698791856,89.8948534344716,283.916498174091
