"","pGH","bGH","zGH","hGH","cGH"
"elev",-0.304598156941098,-1.0977972259587,-1.06512056533335,-2.03752014878881,-2.59202479843339
"slp_test",1,1,1,1,1
"slope",0.850362828094204,1.13041629622496,1.09605453094312,1.48265865443445,1.76378120823477
"upper_limit",0.786721130801286,1.02516335140803,1.03105998867256,1.39289470491942,1.36155363683618
"lower_limit",0.919152811705806,1.24647550170017,1.16514610982782,1.5782073675817,2.28483407950855
"slp_p_value",5.62729277037155e-05,0.014167550098438,0.00337915027540958,0,2.45584916285235e-05
"xy_r^2",0.753724313928325,0.697680187428461,0.831957897967122,0.8638241305951,0.276206186976879
"xy_corr_p_value",0,0,0,0,1.15373739146829e-05
"n",184,179,294,179,62
"from",27.0385674075719,44.1166685990186,17.2754527778301,52.3938903975515,96.9736999332003
"to",573.803037124082,341.846336016705,221.577381652504,383.324120915894,146.091340728413
