"","acanthuridae_ga","pomacanthidae_ga","scariae_ga"
"elev",-2.37927249799348,-4.12084661930336,-2.5523554192139
"slp_test",2,2,2
"slope",1.99964590160261,2.93951767834842,2.21299561039562
"upper_limit",1.66539686419184,1.70321182152119,2.05993575772709
"lower_limit",2.40097950090501,5.07321759521702,2.37742830244083
"slp_p_value",0.998446008573736,0.14300923027741,0.00594688551817502
"xy_r^2",0.747881159929186,0.670721217436593,0.821052680896626
"xy_corr_p_value",8.63749072266273e-11,0.0128897327226196,0
"n",33,8,138
"from",90.3507890983635,48.3808424364856,67.4074143855492
"to",240.634443144233,77.6940465734219,401.473756068824
