"","carangidae_ga","lutjanidae_ga","serranidae_ga"
"elev",-1.69935434872009,-0.947921514471973,-1.56480323243146
"slp_test",2,2,2
"slope",1.94039537977202,1.79685854414419,2.1164818231257
"upper_limit",1.56663953573998,1.66170982287265,1.89096683064296
"lower_limit",2.40331878772752,1.94299906230465,2.36889152947141
"slp_p_value",0.760908312381933,0.00775317604682368,0.321030752738415
"xy_r^2",0.964873949636078,0.915466858428601,0.740016517255513
"xy_corr_p_value",1.3356803885145e-08,0,0
"n",12,92,80
"from",173.909256336406,26.3536254597704,62.2631990472793
"to",585.496317914788,535.489208099244,493.729937368804
