"","carangidae_gw","lutjanidae_gw","serranidae_gw"
"elev",-0.94944666629119,-0.868095881866767,-1.46077198957047
"slp_test",1,1,1
"slope",1.0427414914974,1.08791456371628,1.37575579911602
"upper_limit",0.909799361698173,1.0136157473675,1.21470612648951
"lower_limit",1.19510945365,1.16765954062953,1.55815795897173
"slp_p_value",0.510817308920728,0.0200601508664429,1.72778398010998e-06
"xy_r^2",0.962300424192836,0.8857048260246,0.693374843567105
"xy_corr_p_value",1.90422908552534e-08,0,0
"n",12,92,80
"from",178.653161441105,30.181173852676,71.3427351965889
"to",577.730222286568,519.280998222853,456.291776708546
