"","caesionidae_gh","pomacentridae_gh","serranidae_gh"
"elev",-1.20111524086455,-1.41749693639838,-0.900582058567486
"slp_test",1,1,1
"slope",1.1023137875991,1.26503266731511,1.04033506612054
"upper_limit",1.01454168777827,1.04132872161949,0.947459914886566
"lower_limit",1.19767940634552,1.53679392121786,1.14231434258579
"slp_p_value",0.022102931838334,0.0183877254940223,0.405550935171848
"xy_r^2",0.865004087605888,0.515946029667605,0.731733934081299
"xy_corr_p_value",0,3.42139649944784e-11,0
"n",63,63,168
"from",61.9789146290098,20.0019267278539,22.8712323893978
"to",251.649374978321,40.1377767649723,80.4396767205831
