"","caesionidae_gw","pomacentridae_gw","serranidae_gw"
"elev",-2.00218506310481,-2.64573130122255,-1.30057379325813
"slp_test",1,1,1
"slope",1.44378201073919,1.98429812228261,1.21132083435801
"upper_limit",1.3331915603964,1.65208572983526,1.09190767122221
"lower_limit",1.56354612229492,2.38331399332826,1.34379325507201
"slp_p_value",1.70308211977499e-13,3.86353171677456e-11,0.000335115708769651
"xy_r^2",0.887931253348126,0.479942568735911,0.627111995800893
"xy_corr_p_value",0,3.15706127906878e-10,0
"n",63,63,168
"from",58.5326073411206,21.2006039372413,22.4669997939739
"to",257.812262838252,39.7451081073169,74.9558732117464
